因子名称,IC方向,IC均值,|IC|,ICIR年化,|ICIR|,IC_P值,Spread均值,单调性Tau,最大相关性,IC半衰期,PSI,KS统计量,KS_P值,严格通过IC,严格通过ICIR,严格通过,探索通过IC,探索通过ICIR,探索通过,通过Spread,通过相关性,通过PSI,通过KS,失败原因
momentum_composite_60_5,negative,-0.008506601650044405,0.008506601650044405,-0.9237883063555543,0.9237883063555543,0.016819487426296006,,,0.9159262695218516,,0.6998838956406008,0.16086125910678722,5.844956126024601e-271,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
price_to_sma_60d,negative,-0.008004696169231225,0.008004696169231225,-0.8561990455443831,0.8561990455443831,0.026692676741548314,,,0.9454721072165833,,0.09291661462264014,0.08554498636582969,1.2603690742392772e-76,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
price_to_sma_10d,negative,-0.00783550393442098,0.00783550393442098,-0.8728242927127738,0.8728242927127738,0.0238451286061438,,,0.7694528929037063,,0.2607534908192449,0.11840947254961792,1.1855458092521848e-146,False,True,False,True,True,True,True,True,False,False,
roc_10d,negative,-0.007379912680157507,0.007379912680157507,-0.7845783471072842,0.7845783471072842,0.04220898982897831,,,0.0,,0.05979192407995462,0.06485711662219795,3.300518876226429e-44,False,True,False,True,True,True,True,True,True,False,
realized_vol_60d,negative,-0.00636031293154052,0.00636031293154052,-0.6999397643371809,0.6999397643371809,0.06998700897623224,,,0.14318074341733025,,0.7499875145549237,0.2294573895168009,0.0,False,True,False,True,True,True,True,True,False,False,
garman_klass_vol_20d,negative,-0.005179203730050741,0.005179203730050741,-0.5680852056619485,0.5680852056619485,0.14120185120084192,,,0.0679591657185914,,0.0052694391162228255,0.03369020233549758,3.101288893800211e-12,False,True,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
parkinson_vol_20d,negative,-0.004659148474616184,0.004659148474616184,-0.5149343804453427,0.5149343804453427,0.182286905129929,,,0.05055915442972715,,0.004786542496434083,0.032976472872192075,9.694585792645006e-12,False,True,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
skewness_20d,negative,-0.004433058906963241,0.004433058906963241,-0.49392279988389687,0.49392279988389687,0.20077354367644104,,,0.22787357068344866,,0.27010863493305587,0.134619145840968,1.3946985437773106e-189,False,False,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
kurtosis_20d,negative,-0.004006601863778899,0.004006601863778899,-0.4319210007046436,0.4319210007046436,0.2632175907625576,,,0.22460308281054966,,0.3290608860396813,0.15252983001401194,1.5343333412384274e-243,False,False,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
roc_5d,negative,-0.003674017722418995,0.003674017722418995,-0.3797760726141183,0.3797760726141183,0.3252201836155343,,,0.0,,1.0234571493152254,0.2169367930459214,0.0,False,False,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
vwap_dev_20d,negative,-0.003307637971176732,0.003307637971176732,-0.3506905115345135,0.3506905115345135,0.3636342407783174,,,0.8734112134867462,,0.3413375609546745,0.14227187375123712,8.478949138955262e-212,False,False,False,False,True,False,True,False,False,False,|IC|<0.005或p>0.1; MaxCorr>0.8
hl_range_mean_20d,negative,-0.0031265168578977444,0.0031265168578977444,-0.34611469041858345,0.34611469041858345,0.36992648111600035,,,0.7791653440732571,,0.0032588476786577403,0.03625097634709662,4.2491422527086464e-14,False,False,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
turnover_std_20d,positive,0.002185679145866327,0.002185679145866327,0.2568056630316626,0.2568056630316626,0.5058641665095849,,,0.5538886508231429,,0.011607929658894664,0.02235104017876921,1.2641234296440825e-05,False,False,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
rvol_20d,positive,0.0018091737452446122,0.0018091737452446122,0.20058959127537818,0.20058959127537818,0.6032943459740036,,,0.6390038292015002,,0.3341484274708278,0.13694120590244435,3.431296956964119e-196,False,False,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
max_ret_20d,positive,0.001110487161793864,0.001110487161793864,0.12360628659902939,0.12360628659902939,0.7487897014446674,,,0.6265604140925415,,0.31556282913786204,0.12991123219229084,1.5548654178458688e-176,False,False,False,False,False,False,True,True,False,False,|IC|<0.005或p>0.1; |ICIR|<0.15
roc_120d,negative,-0.001102568641230632,0.001102568641230632,-0.11424589978191843,0.11424589978191843,0.7674415652561807,,,0.802530124310657,,0.3146697276971102,0.1154233056269598,2.6528234289029896e-139,False,False,False,False,False,False,True,False,False,False,|IC|<0.005或p>0.1; |ICIR|<0.15; MaxCorr>0.8
volume_price_corr_20d,positive,0.0009866116146883615,0.0009866116146883615,0.11513318940781166,0.11513318940781166,0.7654861186173934,,,0.24839988329786966,,0.23215875518725604,0.12705686863084342,7.45646044431395e-169,False,False,False,False,False,False,True,True,True,False,|IC|<0.005或p>0.1; |ICIR|<0.15
amihud_illiq_20d,positive,0.0008493799730981569,0.0008493799730981569,0.09314406184246084,0.09314406184246084,0.8093097730555718,,,0.5668684279880366,,0.4193718782416167,0.1707479343828543,1.7394645129311129e-305,False,False,False,False,False,False,True,True,False,False,|IC|<0.005或p>0.1; |ICIR|<0.15
turnover_20d,negative,-0.0006860215977538729,0.0006860215977538729,-0.07861288801601378,0.07861288801601378,0.838611487700379,,,0.6463162437027361,,0.011953791393412303,0.02950110813648632,1.7589366179942925e-09,False,False,False,False,False,False,True,True,True,False,|IC|<0.005或p>0.1; |ICIR|<0.15
