因子名称,IC方向,IC均值,|IC|,ICIR年化,|ICIR|,IC_P值,Spread均值,单调性Tau,最大相关性,IC半衰期,PSI,KS统计量,KS_P值,严格通过IC,严格通过ICIR,严格通过,探索通过IC,探索通过ICIR,探索通过,通过Spread,通过相关性,通过PSI,通过KS,失败原因
mom_frog_20d,negative,-0.009710931543344065,0.009710931543344065,-0.9602532794882104,0.9602532794882104,0.012908030545987008,,,0.8459416030365352,20.0,0.26959612381460624,0.12392404055308263,1.2690150216285471e-160,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
rev_20d,positive,0.009417867569710765,0.009417867569710765,0.9177446314117887,0.9177446314117887,0.017481521035573107,,,0.8708280990550027,20.0,0.29280659035668105,0.12582098201562464,1.394726528343194e-165,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
turnover_20d,positive,0.008539416701499184,0.008539416701499184,0.8501971991767366,0.8501971991767366,0.027681368907953488,,,0.6463162437027361,14.0,0.022369825037082458,0.03436236174079943,1.036784435122139e-12,False,True,False,True,True,True,True,True,True,False,
roc_120d,negative,-0.005498801397555236,0.005498801397555236,-0.4780134772390496,0.4780134772390496,0.21592766015032835,,,0.802530124310657,20.0,0.8274218631354316,0.1310661118442266,1.2015107119000601e-179,False,False,False,False,True,False,True,False,False,False,|IC|<0.005或p>0.1; MaxCorr>0.8
rvol_20d,negative,-0.004580450337812127,0.004580450337812127,-0.506805878778145,0.506805878778145,0.18915210077548528,,,0.7382024521622024,20.0,0.43611429738014873,0.12605244876130403,3.4210524885683305e-166,False,True,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
max_ret_20d,negative,-0.004086649979335467,0.004086649979335467,-0.44850177416424647,0.44850177416424647,0.24519700011607984,,,0.7037417636859316,20.0,2.788720648476845,0.33266163649179553,0.0,False,False,False,False,True,False,True,True,False,False,|IC|<0.005或p>0.1
volume_price_corr_20d,positive,0.0030669622915426627,0.0030669622915426627,0.32972295307459704,0.32972295307459704,0.3928778129552336,,,0.24839988329786966,2.0,0.12289295261221624,0.06268870893389555,2.5268791365757073e-41,False,False,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
turnover_std_20d,positive,0.002764957849484958,0.002764957849484958,0.27731664215192026,0.27731664215192026,0.4723674129386183,,,0.5538886508231429,14.0,0.07351266438036193,0.056231643269528675,2.499637995345763e-33,False,False,False,False,True,False,True,True,True,False,|IC|<0.005或p>0.1
skewness_20d,positive,0.0009907162614268953,0.0009907162614268953,0.10098747333627726,0.10098747333627726,0.7935418556750828,,,0.22787357068344866,20.0,0.1588292702494665,0.05970646837086108,1.5976496330814778e-37,False,False,False,False,False,False,True,True,True,False,|IC|<0.005或p>0.1; |ICIR|<0.15
kurtosis_20d,negative,-0.00039701520218623674,0.00039701520218623674,-0.040768245509040076,0.040768245509040076,0.9158569942523952,,,0.22460308281054966,20.0,0.1684175459253421,0.1071878668445213,3.560711708809806e-120,False,False,False,False,False,False,True,True,True,False,|IC|<0.005或p>0.1; |ICIR|<0.15
momentum_composite_60_5,positive,4.067389280206684e-05,4.067389280206684e-05,0.004050175311030706,0.004050175311030706,0.9916277611688715,,,0.9159262695218516,20.0,0.06777548287775681,0.07044346835373383,4.4998289084385156e-52,False,False,False,False,False,False,True,False,True,False,|IC|<0.005或p>0.1; |ICIR|<0.15; MaxCorr>0.8
