date,ticker,rolling_median_30d,kurtosis_20d,macd_hist,bb_upper,skewness_20d,return_20d,rolling_std_30d,macd,pct_change,volume_ma_20,turnover,volume_roc_10d,amount,rolling_std_10d,volume_ma_5,rolling_std_5d,return_10d,rsi_14,price_range,open_close_range,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2021-08-31 00:00:00+00:00,000011,0.25745140388768883,-0.2369395148123649,0.5312420693458682,0.31620001628014294,-0.12383737967826952,0.32832852884602726,-0.5996122914691877,0.1694459635658439,0.16604892512972574,-0.12753492664569366,0.48313090418353577,1.8862655293266468,1.053755843965416,-0.21593635995024174,0.2244448206095486,0.15793139187008107,0.5187506730180401,0.7864516457202142,0.5303030303030298,-0.08695652173912875,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.05535055350553502
2021-09-01 00:00:00+00:00,000011,0.25745140388768883,-0.13626541561779124,0.6705124446030001,0.37267687167435265,-0.25956950933229467,0.4136823294273204,-0.5910420018696555,0.2738692461087182,0.3825055596738325,-0.05010088614031032,0.2348178137651822,1.7890683659022888,0.7172235662047514,-0.038175397536093156,0.497011905625549,0.2842042721470242,0.7766361430193496,0.8611618599685141,0.1969696969696965,-0.5652173913043447,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.032786885245901586
2021-09-02 00:00:00+00:00,000011,0.25745140388768883,-0.05854183441285986,0.8002166732690229,0.40166922421965395,-0.44862628926890324,0.539340538193838,-0.5537684473353222,0.3854561737184442,0.13639733135656043,0.01065991040865373,0.06747638326585695,2.1717677219760203,0.49025981753848547,0.1474334126004886,0.6348140803972302,0.09451190020848774,0.8587866872350649,1.0302961983325576,-0.07575757575757723,7.723290606088061e-15,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.032638259292837826
2021-09-03 00:00:00+00:00,000011,0.25745140388768883,-0.04441021187798327,0.8652478002316666,0.4186041612886998,-0.4007250354306796,0.5073205276251485,-0.6412790931638139,0.48187111861778054,0.4032616753150482,0.03563266310956934,0.26720647773279343,2.4419588464544577,0.7807847439861875,0.22190688840086012,0.6529054723961984,-0.09777020675586391,0.9793924301604539,1.0891339914935136,-0.19696969696970187,-0.608695652173909,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.019677996422182525
2021-09-06 00:00:00+00:00,000011,0.25745140388768883,0.19863394735646797,0.9394708898480606,0.4462865299970468,-0.6244782877639556,0.6697978165371188,-0.5923494200963814,0.5869814136020556,0.240177909562639,0.09968911481226259,0.3157894736842105,2.952989791350078,0.8422374269948727,0.2740282916866432,0.7449294287395511,-0.20777286706895345,1.112566899179039,1.2595707594103855,0.34848484848484557,-0.08695652173912875,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.027506654835847428
2021-09-07 00:00:00+00:00,000011,0.25745140388768883,0.2858431855514795,0.9799738034465157,0.48652366632347455,-0.5882988851702546,0.616189085005333,-0.49130542238156655,0.6846978805252525,0.4477390659747961,0.1564189193368607,0.8286099865047234,2.3478160792837204,1.6330185328960998,0.30640392299453,0.6963396448464035,-0.15832882908536047,1.0927341372050945,1.3560800710876093,0.46969696969697017,-0.5652173913043447,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.0008741258741258555
2021-09-08 00:00:00+00:00,000011,0.2591792656587474,0.26744462252818685,1.0390239117304771,0.5383110594789774,-0.7039665764067476,0.7039673484742075,-0.37221408334384193,0.7928526657941014,-0.25796886582653816,0.2734552544297737,0.056680161943319825,3.665817927434663,0.5015949729652253,0.3552473328938709,0.8039787520453976,-0.07851233961212967,1.1693608676120932,1.5260821319329654,0.560606060606065,0.17391304347827297,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.014991181657848318
2021-09-09 00:00:00+00:00,000011,0.2591792656587474,0.15391332311041214,0.9545532411781105,0.5449712818993311,-0.9763170966110019,0.4496034139426087,-0.2926205914307968,0.8494144498125449,0.13046701260192736,0.22580483140076466,-0.13225371120107968,0.5787274399598162,0.23073299260079405,0.1476143586100521,0.7474153426998441,-0.21751578784457903,1.1380322629574802,1.2884471965538227,-0.2878787878787913,-0.1304347826086854,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.014925373134328351
2021-09-10 00:00:00+00:00,000011,0.2591792656587474,-0.2669944068781383,0.8651623924809452,0.5363068646267674,-0.5882295866901937,0.670307802659541,-0.21582607060500603,0.8974312534241955,0.026686434395848776,0.20912268026825429,0.00809716599190278,-0.14495041977154788,0.4427474763005801,-0.018937082308104494,0.6842776420896507,-0.4738405567770415,0.9577430413148837,1.3436724243951792,-0.13636363636363685,-0.3913043478260794,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.04298245614035089
2021-09-13 00:00:00+00:00,000011,0.26263498920086337,0.043509311827527555,0.7530222162506179,0.52879355678051,-0.6753801350059381,0.7433227938576045,-0.1564393746844478,0.9295336810010273,0.4684951816160119,0.23454079177372802,-0.024291497975708464,0.11740269823963698,0.39111673170674527,-0.19911085433639536,0.6037869078422361,-0.6474668391905608,0.8171176381816091,1.355162071998609,-0.07575757575757723,-0.4347826086956438,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.041450777202072575
