date,ticker,bb_upper,rolling_std_30d,atr_14,volume_ma_20,macd,rolling_std_10d,macd_hist,return_20d,kurtosis_20d,rolling_std_20d,volume_ma_5,pct_change,skewness_20d,rolling_std_5d,volume_roc_5d,volume_change,volume,volume_ratio_5d,price_range,open_close_range,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2024-10-30 00:00:00+00:00,000002,-1.8023157909058563,0.594359185296787,-0.8845541534847753,9.768596619025958,0.8715363007395706,-0.6169771730994349,-0.4777937059964127,2.2377644290153627,-0.2783384479571316,-0.2899429182195277,4.21814418962895,0.44572526416906816,-0.41837786829504126,-0.7027787476448808,0.54270489917155,-0.14232441207610103,3.8728721339654553,0.4736528825148126,-0.2065217391304333,-0.16666666666667324,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,0.03036876355748366
2024-10-31 00:00:00+00:00,000002,-1.809288968099995,0.5311480676676459,-0.9196692399961673,9.540992920812684,0.8266922036376542,-0.9755646414974196,-0.5001849619447802,2.080106931322431,-0.2695354920074437,-0.6076308914935101,4.079026311433855,0.3150816522574448,-0.3621735712922957,-0.7449788537726659,-0.14406794492339497,-0.14888992827176303,6.582073017457281,0.2418671675403544,-0.6847826086956544,-0.33333333333333665,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,0.0657327586206898
2024-11-01 00:00:00+00:00,000002,-1.8061520725918085,0.4501939396771995,-0.8764719071922354,9.289210364093552,0.791041221914808,-0.9742621741274561,-0.49419549503691174,1.2770438409049711,-0.006909323704849187,-0.7954444870161571,5.018167126933218,-0.6378482228626321,-0.3254815893657816,-0.7617400612156594,1.7468794407221886,1.0703490795923187,4.650716912953875,1.0906120891115436,0.05434782608695756,-0.19444444444445047,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,0.04390779363336997
2024-11-04 00:00:00+00:00,000002,-1.8052006853838485,0.3492935226686852,-0.9032461559690347,8.674518229063285,0.736156043747456,-0.982120591065993,-0.5394136099118503,0.349243637791745,0.2909284258143229,-0.82287399766795,5.468641186275673,-0.1037463976945245,-0.3143467174486919,-0.741425294028626,0.8034469426012804,-0.43867787801168034,2.9652760449878475,0.027595905991209053,-0.5978260869565254,-0.38888888888889106,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,0.025358324145534777
2024-11-05 00:00:00+00:00,000002,-1.8219333522357481,0.22945039802222142,-0.9392556347061379,8.12722979088524,0.6819989741873064,-0.9590586765281748,-0.5736949899953813,-0.3814949808501181,0.6448169764786486,-0.8349985828831255,4.996875052944773,1.2103746397694524,-0.6413772502536426,-0.8245601138478807,-0.4950457699653522,-0.5096690117383268,5.13230313196004,-0.5645508034642183,-0.7065217391304406,-0.44444444444445047,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.016059957173447575
2024-11-06 00:00:00+00:00,000002,-1.8087319048060384,0.09455830490267345,-0.9437090494352526,6.979216052169236,0.6652093094571989,-0.9408049520277223,-0.5039633307264049,-0.6314389325719119,0.9840697655578076,-1.0479648083590476,5.151787350337348,0.7223823246878002,-0.8630221760036688,-0.745234154102782,0.21079750096855004,1.031545708695581,7.619103893463454,0.3658014281949737,-0.4239130434782636,0.19444444444444062,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.04526315789473681
2024-11-07 00:00:00+00:00,000002,-1.7845094855793229,-0.04167351633035558,-0.9121717989474762,6.770948266866589,0.6650494521116378,-0.8780343894712066,-0.4049398317622768,0.24863396062660462,1.395935861394629,-1.0366922038243993,5.9970655889609015,1.6445725264169069,-0.18252286686567445,-0.5656219449045097,1.1558271010771513,0.8081692869709434,10.331409936510576,1.0396242846462613,-0.07608695652173982,-0.08333333333333662,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.09504550050556129
2024-11-08 00:00:00+00:00,000002,-1.7257859572105014,-0.1532614456509827,-0.8895758149897286,6.864110496682994,0.7047635265845662,-0.6486450177890593,-0.22204719774541778,0.7534629690081464,1.1874997627196666,-0.9682150151900054,6.843044457969345,-1.410182516810759,-0.4209618042340865,-0.10792188596458664,0.7772497741305566,0.6509921965334718,8.010820695518774,1.6627966532665222,-0.14130434782608656,0.6944444444444406,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.08412197686645626
2024-11-11 00:00:00+00:00,000002,-1.723384131883624,-0.29443294396292985,-0.8663642946258052,7.01818716831373,0.6853993867719036,-0.648828997524258,-0.22933883622803602,0.4581016523794197,0.7944187093792998,-0.9703619754994229,7.601198995450334,-0.7838616714697406,-0.34706904284367757,-0.21050672143018398,0.9108198209715894,-0.3518346547225175,4.810713493581746,0.5435776679554554,-0.11956521739130431,0.6944444444444406,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.04946236559139794
2024-11-12 00:00:00+00:00,000002,-1.7335568948315965,-0.47002906333605476,-0.893860515728778,6.885452406175105,0.6398100923506764,-0.6493215736989497,-0.303358609288884,0.08800734944007127,0.8301496244862153,-0.9702398244313717,8.017592912372983,-0.38808837656099904,-0.1251045812092043,-0.3983630485703264,0.6942912784309003,-0.6368612350770708,3.6776005711275612,-0.6115075936208756,-0.6630434782608722,-0.44444444444445047,,0.0116,646000000.0,-0.40909999999999996,,0.09269999999999999,0.1251,20.62,2.0,8.34,0.59,0.0414,0.006,0.0059,1397.33,10.58,1.32,0.42,0.4,5.47,0.772,0.12513349370556953,-0.0888,0.05565,4.3859456756768616,4.7161893190302235,1386.75,-0.047878128400435205
