date,ticker,amount,pct_change,return_20d,price_position_5d,price_position_10d,price_position_20d,rolling_std_30d,rolling_median_30d,skewness_20d,kurtosis_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,volume_roc_3d,volume_roc_5d,volume_roc_10d,rsi_14,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-03-26 00:00:00+00:00,000008,0.9538930331115393,-0.23369565217391305,-1.0325895107701664,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,1.9111115736668443,3.8699186991869916,-0.7159693198463406,-0.3242884568401028,1.2356225662924019,-0.23285158785305282,-0.557056984315885,0.6620594895365673,1.312612260271722,0.40482375760104483,0.2559274205179642,1.2668201497559346,-1.679473144844805,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.02446043165467625
2018-03-27 00:00:00+00:00,000008,0.44108809329956383,-0.07608695652173915,-1.1346646940415839,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,1.989310280623239,3.853658536585366,-0.6895989443938327,-0.2326748295112989,-0.014968395789241147,-0.1891442082120379,-0.5277782355262512,0.3563118409009396,1.0439629238599757,-0.07353879958194916,0.49485550130535383,1.2728539062621786,-1.743237001333568,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.04610951008645537
2018-03-28 00:00:00+00:00,000008,0.7287283647788924,-1.0978260869565217,-0.9686370778447136,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.1151680481487434,3.8333333333333335,-0.8889597067950672,0.03772121617982887,-0.5153233168878063,-0.2137792767369736,-0.5266970680487502,-0.3857499896537696,0.2936323591494179,0.14036800428045898,-0.17618290902892345,-0.21925554227478244,-1.7650870154505165,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.023529411764705903
2018-03-29 00:00:00+00:00,000008,0.3473809449308317,-0.2391304347826087,-0.8744038711704082,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.299521622557607,3.8252032520325203,-0.5962069156654476,-0.20351612383784917,0.5933712900693945,-0.2534017242456704,-0.5253098630203179,0.242817833693895,0.7358596104230752,-0.15912561347703763,-0.22856934705913218,0.21670702269740283,-2.0407117214064425,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.02954209748892161
2018-03-30 00:00:00+00:00,000008,-0.15543573733792082,0.0,-0.8640936676951148,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.464082797781584,3.8130081300813004,-0.6113821279154109,-0.1974875405883619,-0.3918857037706432,-0.25266579912480674,-0.5234386973951494,-0.3715104161982527,0.20717824947235497,-0.38863888487222714,0.05520315194435202,0.6985719286759471,-2.092735920330789,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.0384047267355982
2018-04-02 00:00:00+00:00,000008,0.1241271325349424,0.08152173913043478,-0.9960249384412652,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.6201631073791445,3.792682926829269,-0.9948056092447691,-0.12300474629027494,-0.7995591599124937,-0.3687238794506851,-0.5390736230943121,-1.032560530847213,-0.511918586114506,-0.5760650555812566,-0.8046873442359314,-0.6505856547673864,-2.0927359203307896,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.04719764011799414
2018-04-03 00:00:00+00:00,000008,0.031052254819338855,-1.2826086956521738,-0.8921626898945575,-0.2745100263359779,-0.40133781144169967,-0.5757889008853131,2.7317946433314964,3.7642276422764236,-1.0967836483516642,-0.08761446224325198,0.9183846918375344,-0.44818088820386215,-0.5398177775602611,-0.20138521611041704,-0.09644247426179343,-0.4766724438459467,-0.565869653958976,-0.2860040137615684,-2.010707165533687,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.048338368580060465
2018-04-04 00:00:00+00:00,000008,0.14741481789590172,0.16304347826086957,-1.1810416744255081,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.886024140956299,3.7357723577235777,-0.9357954380828447,-0.43399238746538854,-0.08569385992604572,-0.4848387226072661,-0.5345011494993435,-0.2440094275708045,-0.22792933999165438,-0.30694316341727923,-0.3500879784506447,-0.45485754168244913,-2.295539525268214,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.06174698795180712
2018-04-09 00:00:00+00:00,000008,-0.22797047417531022,-0.5706521739130436,-1.0471548377967579,-0.20833349392357492,-0.3846154009779739,-0.5559866359442375,2.8615567907948853,3.691056910569105,-1.0298423065886695,-0.3997567875084094,0.3786725984390324,-0.5395232370348589,-0.5222395753636052,0.3479975231013555,-0.07273221120975694,0.7331964120242123,-0.4297312509489697,-0.5450283415128729,-2.1390077990164507,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.09589041095890409
2018-04-10 00:00:00+00:00,000008,0.35435085569035357,-0.4945652173913044,-1.118144215579485,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.7822817576626866,3.646341463414634,-0.9198750515395465,-0.5039920546684296,-0.6942388144584875,-0.5963647390291513,-0.5212461303905818,-0.4549746209437009,-0.6264260434871333,-0.427529217179243,-0.5954914082541569,-0.5292634719940972,-2.257636340185508,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.12288786482334867
