date,ticker,kurtosis_20d,bb_upper,pct_change,rolling_std_5d,rolling_std_30d,rolling_std_20d,macd_hist,atr_14,skewness_20d,open_close_range,amount,volume_ma_20,macd,rolling_std_10d,volume_change,price_range,volume_ratio_20d,volume_roc_10d,volume_roc_5d,volume_roc_3d,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2020-02-28 00:00:00+00:00,000050,0.5836974483341162,1.0068756084009276,-3.3437826541274815,1.5362323502808286,1.4890634992625322,2.651890864156321,1.9064650987630778,1.4188254258146131,-0.6963362510634405,1.7619047619047659,2.8298301458483355,1.8559837921667426,1.7052193899659063,2.1501797198461627,-0.596637409821242,1.3999999999999944,0.24183869820276116,-0.11370838168249614,-0.7174839156529168,-0.6647205918267323,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,0.03003754693366711
2020-03-02 00:00:00+00:00,000050,0.23929889502104112,1.1311071927614154,1.283176593521421,4.190238030489328,1.4869052802597296,2.655366750504837,0.44687334122827965,1.6429036338468388,-0.7302226277577581,2.1904761904761956,1.908655261277076,1.9093634606931436,1.3007962005451383,2.0931298929441824,0.6114249286714808,2.599999999999994,0.7267988146827359,1.2372324130045151,-0.2744814226032516,-0.5071922005697128,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.05828779599271398
2020-03-03 00:00:00+00:00,000050,0.18837003551850007,1.0581753412087385,0.33019853709508884,4.235584174199683,1.4862650384786935,2.5155858125411616,-0.2213912774393536,1.6141304212328533,-0.5517057053100616,1.0476190476190383,2.262122898333638,2.0330222316131326,1.0876020264140973,2.102055492197625,-0.47603077762174667,1.4666666666666595,-0.03196896823298986,0.3264282004992515,-0.6011566552847937,-0.6225079783130224,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.031927710843373557
2020-03-04 00:00:00+00:00,000050,0.5265946881975491,0.862413271456781,-0.6060606060606061,2.6671710884964437,1.4820726795210624,2.2627334237522922,-0.5816589981135152,1.5825788496350062,-0.706680694588119,0.09523809523808517,0.9629891215839249,2.0540741790961055,0.9411660418929244,2.2009039242508526,0.2915032590027714,1.3999999999999944,0.13930271371567246,-0.0515555194540224,-0.5939922359195314,0.06720714718454873,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.02995110024449879
2020-03-05 00:00:00+00:00,000050,0.35406206596323087,0.7273744574697735,0.2800417972831766,1.6100455752606402,1.4757620671082547,1.9733855807411853,-0.9583985382589101,1.5315298136694155,-0.614434237742177,-0.4761904761904766,1.3749578695336038,2.0429080140473497,0.7608327401057999,2.325274616544208,-0.7829060689102763,1.099999999999996,-0.6753080056082282,-0.4565848163129894,-0.823189415591254,-0.8838619922190053,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.05889496053430473
2020-03-06 00:00:00+00:00,000050,0.5139932416081657,0.5902806262907417,-0.025078369905956112,0.2386714488840361,1.4740672132676353,1.7939942224961185,-1.10670705501384,1.4696263720467833,-0.5913343187559947,0.14285714285714043,1.01837050794504,2.035686785432932,0.6391166155669551,2.3897928882787016,0.5614539079874101,0.8999999999999891,-0.40065300851208224,-0.830217712945554,-0.33031816293902894,-0.31703119032219057,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.0753341433778858
2020-03-09 00:00:00+00:00,000050,0.484593039599123,0.5542766908501392,-2.4117032392894457,-0.5233790131610557,1.466794438797595,1.6389109330702571,-1.1762197303733464,1.4048942221413334,-0.527252159413889,0.4761904761904766,1.2314791417628164,2.0273471620044528,0.5362144828383312,2.4067254255477875,-0.2759671504007743,0.7999999999999976,-0.6431051373300565,-0.7936220445832703,-0.7008054273798836,-0.6633083179611682,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.07930367504835593
2020-03-10 00:00:00+00:00,000050,-0.06597729142507329,0.6445478772297873,1.508881922675026,1.2506778047645126,1.4896331334612616,1.6008269047524568,-1.7732696038529994,1.4559583317237932,-0.39623643559056576,1.857142857142868,1.3438899518389051,2.0513071300013537,0.22598923197969142,2.3779738015625282,0.4332498372432056,1.233333333333326,-0.4493689267716256,-0.7209080341100018,-0.27192549878464084,0.38339681357788047,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.1088985687616677
2020-03-11 00:00:00+00:00,000050,-0.07652290609022813,0.6103846511304774,-0.5182863113897597,1.080455811398708,1.4666252324572642,1.4330801169353207,-1.729364116967227,1.4840406510823467,-0.5193285286377624,3.619047619047634,0.7858167693768341,2.0939044249344176,0.11546933884545126,1.4382462239585576,0.1970480271782417,2.066666666666656,-0.39020937260760347,-0.7402610087526988,-0.31921150237055645,0.08535277384651276,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.12161310649023313
2020-03-12 00:00:00+00:00,000050,-0.1404269876965177,0.5914037621116472,-0.9738766980146291,1.0955817061027324,1.4650839691556103,1.3518535778997287,-1.7536921212459875,1.4158621155890696,-0.3981426962105931,0.9047619047619149,0.3941922373071689,2.0788020533327867,-0.017815517598049606,0.8743456047242204,-0.5051056930949908,0.766666666666671,-0.792507539570637,-0.8044095523591818,-0.06979810062928087,-0.15294449298045754,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.08709677419354836
